Ticker,Company name,Segment,Segment Number,CIQ Formula,Currency,1/1/2010,4/1/2010,7/1/2010,10/1/2010,1/1/2011,4/1/2011,7/1/2011,10/1/2011,1/1/2012,4/1/2012,7/1/2012,10/1/2012,1/1/2013,4/1/2013,7/1/2013,10/1/2013,1/1/2014,4/1/2014,7/1/2014,10/1/2014,1/1/2015,4/1/2015,7/1/2015,10/1/2015,1/1/2016,4/1/2016,7/1/2016,10/1/2016,1/1/2017,4/1/2017,7/1/2017,10/1/2017,1/1/2018,4/1/2018,7/1/2018,10/1/2018,1/1/2019,4/1/2019,7/1/2019,10/1/2019,1/1/2020,4/1/2020,7/1/2020,10/1/2020,1/1/2021,4/1/2021,7/1/2021,10/1/2021,1/1/2022,4/1/2022,7/1/2022,10/1/2022,1/1/2023,4/1/2023,7/1/2023
XTRA:SIE,Siemens,Industrial Businesses (IB) - Mobility,3,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.6,0.0,0.0,0.0,171.9,152.5,0.0,0.0,191.1,154.9,154.4,0.0,154.1,0.0,184.8,0.0,276.2,0.0,194.8,0.0,248.5,0.0,227.6,0.0,223.3,0.0,150.8,0.0,247.1,0.0,219.4,0.0,228.6,-441.0,708.8,0.0,181.7,241.2,200.9,219.1
XTRA:SIE,Siemens,Industrial Businesses (IB) - Siemens Healthineers,4,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,-1085.5,506.9,0.0,0.0,672.4,0.0,0.0,0.0,791.1,660.6,0.0,0.0,776.9,588.0,0.0,0.0,0.0,444.2,510.3,0.0,0.0,532.2,575.1,535.3,0.0,622.8,0.0,572.7,0.0,610.0,0.0,555.4,0.0,570.2,0.0,575.8,0.0,494.9,0.0,490.7,0.0,847.7,0.0,783.7,0.0,800.6,840.9,618.9,0.0,569.6,208.6,619.0,906.0
ENXTPA:SU,Schneider Electric,Energy Management,1,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,792.0,947.5,947.5,888.0,888.0,1033.0,1033.0,747.0,747.0,1070.0,1070.0,1072.5,1072.5,1178.0,1178.0,1253.0,1253.0,1443.0,1443.0,1412.0,1412.0,0.0
ENXTPA:SU,Schneider Electric,Industrial Automation,2,IQ_BUS_SEG_OPER_INC_ABS,EUR,162.5,162.5,209.5,209.5,219.0,219.0,168.0,168.0,206.0,206.0,205.5,205.5,188.0,188.0,184.0,184.0,246.5,246.5,265.0,265.0,220.0,220.0,267.5,267.5,212.0,212.0,247.0,247.0,243.5,243.5,267.0,267.0,264.0,264.0,295.0,295.0,275.5,275.5,295.0,295.0,214.5,214.5,281.5,281.5,299.5,299.5,321.5,321.5,342.5,342.5,386.5,386.5,379.0,379.0,0.0
ENXTPA:SU,Schneider Electric,Central Functions & Digital Costs,3,IQ_BUS_SEG_OPER_INC_ABS,EUR,-119.5,-119.5,-97.0,-97.0,-129.0,-129.0,-105.0,-105.0,-133.0,-133.0,-117.5,-117.5,-139.5,-139.5,-123.5,-123.5,-138.5,-138.5,-140.0,-140.0,-152.5,-152.5,-150.0,-150.0,-151.5,-151.5,-157.5,-157.5,-158.0,-158.0,-167.5,-167.5,-171.5,-171.5,-190.0,-190.0,-183.5,-183.5,-189.0,-189.0,-173.5,-173.5,-176.5,-176.5,-191.0,-191.0,-187.0,-187.0,-204.5,-204.5,-212.0,-212.0,-204.0,-204.0,0.0
ENXTPA:SU,Schneider Electric,Segment Adjustment,4,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENXTPA:SU,Schneider Electric,Energy Management - Low Voltage,5,IQ_BUS_SEG_OPER_INC_ABS,EUR,28.5,28.5,45.5,45.5,29.5,29.5,43.0,43.0,26.0,26.0,27.5,27.5,462.0,462.0,501.0,501.0,449.0,449.0,507.5,507.5,515.5,515.5,550.5,550.5,521.0,521.0,537.5,537.5,555.5,555.5,560.5,560.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENXTPA:SU,Schneider Electric,Energy Management - Medium Voltage,6,IQ_BUS_SEG_OPER_INC_ABS,EUR,79.5,79.5,143.0,143.0,83.0,83.0,172.5,172.5,99.5,99.5,188.0,188.0,96.5,96.5,184.5,184.5,66.0,66.0,161.0,161.0,78.0,78.0,169.5,169.5,79.0,79.0,159.5,159.5,90.0,90.0,134.5,134.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENXTPA:SU,Schneider Electric,Energy Management - Secure Power,7,IQ_BUS_SEG_OPER_INC_ABS,EUR,90.5,90.5,137.5,137.5,97.0,97.0,164.5,164.5,152.0,152.0,197.0,197.0,144.5,144.5,180.5,180.5,129.0,129.0,186.0,186.0,139.5,139.5,182.5,182.5,133.0,133.0,169.0,169.0,128.0,128.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENXTPA:SU,Schneider Electric,Energy Management,1,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.7,924.0,1100.8,1084.8,996.6,1010.5,1126.4,1159.2,820.9,840.6,1256.5,1308.9,1258.8,1271.6,1365.3,1339.7,1391.9,1309.8,1415.0,1542.2,1534.1,1541.5,0.0
ENXTPA:SU,Schneider Electric,Industrial Automation,2,IQ_BUS_SEG_OPER_INC_ABS,USD,219.7,199.5,284.6,280.9,310.6,318.0,225.9,218.3,274.6,261.1,263.9,270.9,240.9,244.4,249.0,253.4,339.6,337.5,334.4,320.8,236.3,245.1,298.5,290.5,241.4,235.4,277.6,260.7,260.4,277.8,315.6,320.6,325.2,308.0,342.7,337.8,309.2,313.5,321.7,331.1,235.7,241.4,330.6,344.3,351.5,355.1,372.6,365.6,380.5,358.0,379.0,413.1,411.8,413.8,0.0
